"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1991,"December","Imports","Coutts","MidWest",104.1,3674.83013177143,6458.41,1.78
1991,"December","Imports","Emerson","MidWest",9347.7,329982.801371372,1204449.39,3.61
1991,"December","Imports","Ojibway (Windsor)","MidWest",17409.6,614575.625956656,1665127.93,2.69
1991,"December","Imports","Sarnia","MidWest",2201,77697.4170992211,136304.33,1.74
1991,"December","Imports","St Clair","MidWest",58452.4,2063425.94423013,4028679.16,1.93
1992,"January","Exports","Aden","MidWest",24514.4,865381.899926009,1404529.98,1.63
1992,"January","Exports","Cardston","MidWest",26174.8,923995.617032573,1123429.14,1.19
1992,"January","Exports","Cornwall","East",39125.4,1381164.25396359,4010844.07,2.88
1992,"January","Exports","Emerson","MidWest",668906.3,23613035.7979994,50136491.42,2.11
1992,"January","Exports","Fort Frances","East",20446.3,721774.056899502,1717308.29,2.36
1992,"January","Exports","Highwater","East",26999.4,953104.790199323,2376379.02,2.48
1992,"January","Exports","Huntingdon","West",576938.2,20366473.4056674,35140899.79,1.67
1992,"January","Exports","Iroquois","East",200939.4,7093354.09971251,17466066.7,2.45
1992,"January","Exports","Kingsgate","West",1311211,46287009.5284356,90445720.33,1.93
1992,"January","Exports","Monchy","MidWest",927712.6,32749147.128761,49994345.18,1.5
1992,"January","Exports","Niagara Falls","East",600708.94,21205603.3922812,55289293.71,2.59
1992,"January","Exports","Ojibway (Windsor)","MidWest",6846.1,241673.915130839,453729.63,1.86
1992,"January","Exports","Philipsburg","East",28164.3,994226.880694045,2741499.62,2.74
1992,"January","Exports","Reagan Field","MidWest",370.7,13086.0665691419,23686.59,1.42
1992,"January","Exports","Sprague","MidWest",372.8,13160.1985890912,41839.99,3.16
1992,"January","Exports","St Clair","MidWest",20999.5,741302.549011856,1194474.6,1.6
1992,"January","Imports","Coutts","MidWest",105.7,3731.31167078041,6531.69,1.77
1992,"January","Imports","Emerson","MidWest",15958.7,563357.46036408,1800901.2,3.17
1992,"January","Imports","Ojibway (Windsor)","MidWest",17371.2,613220.069020441,1532112.26,2.49
1992,"January","Imports","Sarnia","MidWest",37677.1,1330037.87087191,1676574.67,1.25
1992,"January","Imports","St Clair","MidWest",18162.1,641139.599771815,1363746.65,2.09
1992,"February","Exports","Aden","MidWest",22088.2,779734.706211275,1236396.54,1.6
1992,"February","Exports","Cardston","MidWest",19478.2,687599.195702884,714961.93,1.02
1992,"February","Exports","Cornwall","East",35039.9,1236942.17420036,3707115.25,2.97
1992,"February","Exports","Emerson","MidWest",852296.4,30086882.7273806,47128442.26,1.55
1992,"February","Exports","Fort Frances","East",19034.3,671929.098724082,1626967.6,2.4
1992,"February","Exports","Highwater","East",26158.5,923420.211353919,2295702.43,2.47
1992,"February","Exports","Huntingdon","West",556539.8,19646390.2648419,30505626.3,1.5
1992,"February","Exports","Iroquois","East",283845.1,10020005.0550977,25282853.11,2.51
1992,"February","Exports","Kingsgate","West",1214397.5,42869399.8554073,79839384.02,1.83
1992,"February","Exports","Monchy","MidWest",980199.8,34601995.7751809,34830938.49,0.99
1992,"February","Exports","Niagara Falls","East",538724.5,19017493.0386503,48271295.94,2.52
1992,"February","Exports","Ojibway (Windsor)","MidWest",3213.2,113429.050714774,200717.95,1.76
1992,"February","Exports","Philipsburg","East",26534.5,936693.373021028,2566942.91,2.72
1992,"February","Exports","Reagan Field","MidWest",346.9,12245.9036763834,21830.31,1.42
1992,"February","Exports","Sarnia","MidWest",57042.5,2013655.11807466,2175560.87,1.07
1992,"February","Exports","Sprague","MidWest",310.9,10975.0690486814,38130.11,3.45
1992,"February","Exports","St Clair","MidWest",25844.3,912328.649131031,1025910.73,1.12
1992,"February","Imports","Coutts","MidWest",82.8,2922.91964371445,4965.45,1.7
1992,"February","Imports","Emerson","MidWest",10462.5,369336.313675875,1275085.81,3.42
1992,"February","Imports","Ojibway (Windsor)","MidWest",17108.5,603946.506334405,1084977.13,1.79
1992,"February","Imports","Sarnia","MidWest",41376.4,1460626.71915684,1697834.3,1.15
1992,"February","Imports","St Clair","MidWest",40445.9,1427779.17412694,951836.32,0.66
1992,"March","Exports","Aden","MidWest",22862.1,807054.120610678,1264122.74,1.58
1992,"March","Exports","Cardston","MidWest",27491.8,970486.983829335,906784.8,0.92
1992,"March","Exports","Cornwall","East",36660.6,1294154.44312027,3824429.24,2.93
1992,"March","Exports","Emerson","MidWest",887969,31346159.8201628,50200715.27,1.59
1992,"March","Exports","Fort Frances","East",18990,670365.266112771,1474175.83,2.18
1992,"March","Exports","Highwater","East",27363,965940.219939113,2189924.38,2.25
1992,"March","Exports","Huntingdon","West",633004.98,22345684.6692159,32541359.13,1.41
1992,"March","Exports","Iroquois","East",366669.6,12943789.5723783,29031996.69,2.22
1992,"March","Exports","Kingsgate","West",1134114.4,40035329.2026501,67913174.47,1.67
1992,"March","Exports","Monchy","MidWest",1100211.8,38838534.8123966,46576582.72,1.18
1992,"March","Exports","Niagara Falls","East",635848.1,22446049.5399579,51367180.36,2.27
1992,"March","Exports","Ojibway (Windsor)","MidWest",7882,278242.181542963,482084.24,1.72
1992,"March","Exports","Philipsburg","East",25729.4,908272.56861095,2407582.08,2.62
1992,"March","Exports","Reagan Field","MidWest",349.6,12341.216273461,21995.89,1.42
1992,"March","Exports","Sarnia","MidWest",13399.8,473025.829007789,610378.65,1.28
1992,"March","Exports","Sprague","MidWest",275.8,9736.00528667205,35260.67,3.59
1992,"March","Exports","St Clair","MidWest",14095.5,497584.708188129,636889.77,1.28
1992,"March","Imports","Coutts","MidWest",65.4,2308.68290699185,3788.44,1.66
1992,"March","Imports","Emerson","MidWest",3335.7,117753.418545149,2427357.69,20.47
1992,"March","Imports","Iroquois","East",83.4,2944.10022084282,4768.48,1.61
1992,"March","Imports","Niagara Falls","East",65812.4,2323241.02367141,5607812.81,2.39
1992,"March","Imports","Ojibway (Windsor)","MidWest",45712.9,1613709.34035211,2560879.18,1.57
1992,"March","Imports","Sarnia","MidWest",138541.6,4890651.74047862,8585679.02,1.74
1992,"March","Imports","St Clair","MidWest",87019.8,3071882.64265825,6710729.05,2.17
1992,"April","Exports","Aden","MidWest",13579.2,479358.82156917,789749.38,1.59
1992,"April","Exports","Cardston","MidWest",29890.6,1055166.93118854,991162.17,0.93
1992,"April","Exports","Cornwall","East",25295.7,892962.541443329,3062066.68,3.39
1992,"April","Exports","Emerson","MidWest",910267.6,32133321.8487537,52536927.73,1.62
1992,"April","Exports","Fort Frances","East",16826.7,593998.695276449,1387564.57,2.31
